CoC Number,CoC Name,Count Types,Year,Sheltered Total Homeless,Sheltered Total Homeless - Under 18,Sheltered Total Homeless - Age 18 to 24,Sheltered Total Homeless - Over 24,Sheltered Total Homeless - Female,Sheltered Total Homeless - Male,Sheltered Total Homeless - Transgender,Sheltered Total Homeless - Gender that is not Singularly Female or Male,Sheltered Total Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Sheltered Total Homeless - Hispanic/Latin(o)(a)(x),Sheltered Total Homeless - White,"Sheltered Total Homeless - Black, African American, or African",Sheltered Total Homeless - Asian or Asian American,"Sheltered Total Homeless - American Indian, Alaska Native, or Indigenous",Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander,Sheltered Total Homeless - Multiple Races,Unsheltered Homeless,Unsheltered Homeless - Under 18,Unsheltered Homeless - Age 18 to 24,Unsheltered Homeless - Over 24,Unsheltered Homeless - Female,Unsheltered Homeless - Male,Unsheltered Homeless - Transgender,Unsheltered Homeless - Gender that is not Singularly Female or Male,Unsheltered Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Unsheltered Homeless - Hispanic/Latin(o)(a)(x),Unsheltered Homeless - White,"Unsheltered Homeless - Black, African American, or African",Unsheltered Homeless - Asian or Asian American,"Unsheltered Homeless - American Indian, Alaska Native, or Indigenous",Unsheltered Homeless - Native Hawaiian or Other Pacific Islander,Unsheltered Homeless - Multiple Races,Sheltered Total Homeless - Gender Questioning,Unsheltered Homeless - Gender Questioning
MI-507,"Portage, Kalamazoo City & County CoC",Sheltered-Only Count,2021,342,125,26,191,167,173,2,0,327,15,118,208,5,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MI-508,"Lansing, East Lansing/Ingham County CoC",Sheltered and Unsheltered Count,2021,358,78,21,259,150,206,1,1,329,29,158,147,1,4,0,48,14,0,0,14,3,11,0,0,13,1,9,4,0,1,0,0,,
MI-509,Washtenaw County CoC,Sheltered and Partial Unsheltered Count,2021,249,44,27,178,104,141,3,1,239,10,75,142,3,2,4,23,20, , , , , , , , , , , , , , , ,,
MI-510,Saginaw City & County CoC,Sheltered-Only Count,2021,331,130,28,173,178,153,0,0,313,18,109,211,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MI-511,Lenawee County CoC,Sheltered and Unsheltered Count,2021,97,28,6,63,55,42,0,0,87,10,76,5,2,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",Sheltered-Only Count,2021,202,46,10,146,70,131,0,1,183,19,168,7,0,16,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MI-514,Battle Creek/Calhoun County CoC,Sheltered and Unsheltered Count,2021,143,23,8,112,49,94,0,0,135,8,96,38,0,3,0,6,6,0,0,6,3,3,0,0,6,0,5,1,0,0,0,0,,
MI-515,Monroe City & County CoC,Sheltered and Unsheltered Count,2021,103,20,3,80,59,43,1,0,98,5,60,36,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MI-516,"Norton Shores, Muskegon City & County CoC",Sheltered and Partial Unsheltered Count,2021,76,17,2,57,45,31,0,0,73,3,38,31,0,0,0,7,29, , , , , , , , , , , , , , , ,,
MI-517,Jackson City & County CoC,Sheltered and Unsheltered Count,2021,119,26,23,70,56,62,1,0,107,12,84,23,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MI-518,Livingston County CoC,Sheltered and Unsheltered Count,2021,73,20,8,45,44,29,0,0,71,2,67,4,0,0,0,2,4,0,0,4,0,4,0,0,4,0,4,0,0,0,0,0,,
MI-519,Holland/Ottawa County CoC,Sheltered-Only Count,2021,139,37,16,86,64,75,0,0,119,20,101,20,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MI-523,Eaton County CoC,Sheltered-Only Count,2021,83,49,4,30,51,32,0,0,81,2,50,16,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MN-500,Minneapolis/Hennepin County CoC,Sheltered-Only Count,2021,2369,649,235,1485,1014,1340,11,4,2207,162,562,1446,34,175,11,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MN-501,Saint Paul/Ramsey County CoC,Sheltered and Unsheltered Count,2021,1558,362,136,1060,641,908,6,3,1418,140,419,823,67,56,2,191,314,21,34,259,94,219,0,1,294,20,136,99,24,29,7,19,,
MN-502,Rochester/Southeast Minnesota CoC,Sheltered-Only Count,2021,419,144,43,232,213,205,1,0,368,51,274,97,7,6,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",Sheltered-Only Count,2021,610,201,60,349,316,291,2,1,548,62,316,189,26,16,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MN-504,Northeast Minnesota CoC,Sheltered-Only Count,2021,73,26,11,36,51,22,0,0,69,4,55,2,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MN-505,St. Cloud/Central Minnesota CoC,Sheltered-Only Count,2021,536,143,58,335,283,249,0,4,499,37,321,108,3,72,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MN-506,Northwest Minnesota CoC,Sheltered-Only Count,2021,249,104,45,100,128,119,2,0,215,34,122,17,1,91,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MN-508,Moorhead/West Central Minnesota CoC,Sheltered-Only Count,2021,186,64,27,95,91,93,2,0,164,22,89,45,0,39,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MN-509,Duluth/St.Louis County CoC,Sheltered-Only Count,2021,348,105,45,198,171,173,2,2,336,12,146,74,3,60,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MN-511,Southwest Minnesota CoC,Sheltered-Only Count,2021,113,51,19,43,64,49,0,0,78,35,81,14,11,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MO-500,St. Louis County CoC,Sheltered and Partial Unsheltered Count,2021,304,100,130,74,226,76,1,1,296,8,60,230,1,0,0,13,37,0,1,36, , , , , , , , , , , , ,,
MO-501,St.Louis City CoC,Sheltered and Partial Unsheltered Count,2021,838,170,66,602,287,547,4,0,826,12,183,620,15,3,2,15,159, , , , , , , , , , , , , , , ,,
MO-503,"St. Charles City & County, Lincoln, Warren Counties CoC",Sheltered and Unsheltered Count,2021,346,124,35,187,208,137,1,0,335,11,248,79,0,2,0,17,110,18,9,83,44,65,0,1,107,3,88,18,0,0,1,3,,
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",Sheltered and Unsheltered Count,2021,517,158,25,334,242,273,1,1,495,22,400,47,0,9,1,60,66,0,5,61,23,43,0,0,62,4,55,3,0,6,0,2,,
MO-602,"Joplin/Jasper, Newton Counties CoC",Sheltered and Unsheltered Count,2021,175,37,13,125,71,104,0,0,162,13,131,21,0,0,0,23,35,2,1,32,8,27,0,0,31,4,30,3,0,0,0,2,,
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",Sheltered and Unsheltered Count,2021,118,39,2,77,63,55,0,0,117,1,82,22,0,2,0,12,32,2,2,28,8,24,0,0,29,3,30,1,0,0,1,0,,
MO-604a,"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",Sheltered and Unsheltered Count,2021,1099,293,77,729,531,560,5,3,1001,98,588,419,1,20,8,63,476,6,12,458,109,365,1,1,430,46,313,124,7,4,6,22,,
MO-606,Missouri Balance of State CoC,Sheltered-Only Count,2021,764,229,67,468,415,344,3,2,749,15,517,185,4,11,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MP-500,Northern Mariana Islands CoC,Sheltered-Only Count,2021,2,0,0,2,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MS-500,"Jackson/Rankin, Madison Counties CoC",Sheltered-Only Count,2021,147,10,9,128,44,101,1,1,147,0,63,82,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MS-501,Mississippi Balance of State CoC,Sheltered and Partial Unsheltered Count,2021,145,19,8,118,74,71,0,0,140,5,71,65,1,3,0,5,123,0,5,118,40,83,0,0,122,1,56,64,0,0,0,3,,
MS-503,Gulf Port/Gulf Coast Regional CoC,Sheltered and Unsheltered Count,2021,67,22,5,40,53,14,0,0,47,20,44,21,0,0,0,2,144,0,8,136,43,101,0,0,140,4,104,34,0,1,0,5,,
MT-500,Montana Statewide CoC,Sheltered and Partial Unsheltered Count,2021,1168,252,72,844,487,678,1,2,1078,90,843,62,2,187,8,66,633,7, , , , , , , , , , , , , , ,,
NC-500,Winston-Salem/Forsyth County CoC,Sheltered and Unsheltered Count,2021,323,40,12,271,93,229,1,0,314,9,131,188,1,0,0,3,139,0,11,128,35,104,0,0,135,4,91,46,0,0,0,2,,
NC-501,Asheville/Buncombe County CoC,Sheltered and Unsheltered Count,2021,411,36,11,364,110,299,1,1,404,7,280,107,1,3,2,18,116,1,11,104,24,92,0,0,108,8,89,18,0,5,0,4,,
NC-502,Durham City & County CoC,Sheltered and Unsheltered Count,2021,278,42,10,226,91,186,0,1,268,10,81,188,0,1,2,6,118,31,7,80,48,70,0,0,114,4,25,88,0,0,5,0,,
NC-503,North Carolina Balance of State CoC,Sheltered-Only Count,2021,1520,368,103,1049,732,787,1,0,1426,94,768,651,11,30,5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NC-504,"Greensboro, High Point CoC",Sheltered and Partial Unsheltered Count,2021,419,93,25,301,168,250,1,0,403,16,80,327,1,0,1,10,63,0,2,61,21,42,0,0,60,3,39,21,1,2,0,0,,
NC-505,Charlotte/Mecklenberg CoC,Sheltered and Partial Unsheltered Count,2021,1678,427,77,1174,668,1007,3,0,1621,57,238,1366,14,11,0,49,269,0,10,259,98,168,3,0,252,17,54,195,2,6,0,12,,
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",Sheltered and Unsheltered Count,2021,179,28,11,140,90,88,1,0,173,6,92,72,1,3,0,11,122,1,3,118,31,91,0,0,119,3,84,33,0,0,0,5,,
NC-507,Raleigh/Wake County CoC,Sheltered and Unsheltered Count,2021,439,174,37,228,258,180,1,0,417,22,70,341,2,3,0,23,473,154,67,252,247,223,3,0,435,38,77,375,2,0,2,17,,
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",Sheltered and Unsheltered Count,2021,83,18,4,61,32,51,0,0,83,0,54,27,0,2,0,0,194,5,12,177,55,139,0,0,193,1,140,51,0,1,0,2,,
NC-511,Fayetteville/Cumberland County CoC,Sheltered-Only Count,2021,54,27,5,22,32,22,0,0,50,4,7,38,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NC-513,Chapel Hill/Orange County CoC,Sheltered and Unsheltered Count,2021,140,14,12,114,42,98,0,0,133,7,34,97,0,1,0,8,36,0,2,34,8,28,0,0,35,1,14,21,0,1,0,0,,
NC-516,Northwest North Carolina CoC,Sheltered and Partial Unsheltered Count,2021,88,25,5,58,53,35,0,0,79,9,79,4,0,5,0,0,107, , , , , , , , , , , , , , , ,,
ND-500,North Dakota Statewide CoC,Sheltered and Unsheltered Count,2021,474,125,51,298,212,260,1,1,428,46,227,84,4,113,2,44,74,1,6,67,25,49,0,0,63,11,45,4,0,21,0,4,,
NE-500,Nebraska Balance of State CoC,Sheltered and Unsheltered Count,2021,398,90,46,262,175,221,1,1,328,70,328,26,2,18,0,24,27,2,0,25,11,16,0,0,26,1,19,0,0,6,0,2,,
NE-501,"Omaha, Council Bluffs CoC",Sheltered and Unsheltered Count,2021,1096,163,71,862,367,724,4,1,978,118,658,323,13,31,11,60,94,0,0,94,28,66,0,0,88,6,64,17,1,11,1,0,,
NE-502,Lincoln CoC,Sheltered and Unsheltered Count,2021,282,71,29,182,123,159,0,0,220,62,170,61,9,9,0,33,38,0,1,37,14,24,0,0,37,1,32,3,1,0,0,2,,
NH-500,New Hampshire Balance of State CoC,Sheltered and Unsheltered Count,2021,580,135,41,404,267,312,1,0,566,14,521,24,8,1,0,26,195,9,25,161,66,128,1,0,187,8,184,8,0,1,0,2,,
NH-501,Manchester CoC,Sheltered and Unsheltered Count,2021,414,120,36,258,193,221,0,0,333,81,331,45,5,1,1,31,105,4,14,87,37,67,1,0,75,30,102,1,1,0,1,0,,
NH-502,Nashua/Hillsborough County CoC,Sheltered and Unsheltered Count,2021,177,52,7,118,75,102,0,0,146,31,147,11,2,0,2,15,20,0,0,20,7,13,0,0,17,3,18,1,0,0,0,1,,
NJ-500,Atlantic City & County CoC,Sheltered and Unsheltered Count,2021,204,18,25,161,58,145,1,0,178,26,93,96,7,1,0,7,122,0,5,117,27,95,0,0,105,17,60,52,5,0,0,5,,
NJ-501,Bergen County CoC,Sheltered and Unsheltered Count,2021,274,78,18,178,145,127,2,0,206,68,136,114,7,2,0,15,5,0,1,4,2,3,0,0,4,1,4,1,0,0,0,0,,
NJ-502,Burlington County CoC,Sheltered and Unsheltered Count,2021,596,208,29,359,326,270,0,0,509,87,198,336,3,9,6,44,8,0,2,6,3,5,0,0,7,1,6,2,0,0,0,0,,
NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",Sheltered and Unsheltered Count,2021,826,160,46,620,355,468,3,0,673,153,423,355,1,3,9,35,109,4,4,101,33,75,1,0,96,13,57,43,0,1,1,7,,
NJ-504,Newark/Essex County CoC,Sheltered and Unsheltered Count,2021,1797,334,104,1359,649,1142,6,0,1551,246,289,1448,8,26,10,16,91,6,9,76,35,56,0,0,82,9,15,74,0,0,0,2,,
NJ-506,"Jersey City, Bayonne/Hudson County CoC",Sheltered and Unsheltered Count,2021,726,78,33,615,217,509,0,0,488,238,292,403,9,11,0,11,156,0,2,154,34,122,0,0,100,56,71,78,2,1,0,4,,
NJ-507,New Brunswick/Middlesex County CoC,Sheltered and Unsheltered Count,2021,491,138,49,304,227,264,0,0,350,141,225,249,6,2,0,9,137,0,4,133,24,113,0,0,70,67,93,42,1,0,0,1,,
NJ-508,Monmouth County CoC,Sheltered and Unsheltered Count,2021,296,72,27,197,133,163,0,0,252,44,130,143,0,0,0,23,26,0,0,26,7,19,0,0,23,3,9,17,0,0,0,0,,
NJ-509,Morris County CoC,Sheltered and Unsheltered Count,2021,234,68,12,154,106,128,0,0,179,55,151,69,2,1,6,5,34,1,0,33,4,30,0,0,30,4,32,0,0,0,1,1,,
NJ-510,Lakewood Township/Ocean County CoC,Sheltered and Unsheltered Count,2021,354,121,23,210,194,160,0,0,293,61,220,101,1,1,1,30,15,0,0,15,5,10,0,0,12,3,7,7,1,0,0,0,,
NJ-511,Paterson/Passaic County CoC,Sheltered and Unsheltered Count,2021,251,66,25,160,105,146,0,0,169,82,77,155,0,9,0,10,73,0,0,73,11,62,0,0,30,43,28,34,0,0,0,11,,
NJ-512,Salem County CoC,Sheltered and Unsheltered Count,2021,11,6,0,5,7,4,0,0,3,8,1,2,0,0,0,8,7,0,1,6,4,3,0,0,7,0,3,4,0,0,0,0,,
NJ-513,Somerset County CoC,Sheltered and Unsheltered Count,2021,226,57,22,147,105,121,0,0,189,37,76,141,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NJ-514,Trenton/Mercer County CoC,Sheltered-Only Count,2021,393,89,32,272,148,245,0,0,327,66,115,263,4,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NJ-515,Elizabeth/Union County CoC,Sheltered and Partial Unsheltered Count,2021,557,140,53,364,253,303,1,0,425,132,174,367,2,3,3,8,14,0,1,13,4,10,0,0,10,4,4,9,1,0,0,0,,
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",Sheltered and Unsheltered Count,2021,207,27,10,170,114,92,1,0,181,26,137,61,2,0,1,6,22,1,0,21,7,15,0,0,18,4,18,3,0,0,0,1,,
NM-500,Albuquerque CoC,Sheltered and Unsheltered Count,2021,1154,302,77,775,417,726,6,5,569,585,742,115,5,207,12,73,413,3,24,386,129,279,5,0,236,177,240,31,0,120,6,16,,
NM-501,New Mexico Balance of State CoC,Sheltered and Unsheltered Count,2021,818,190,68,560,428,382,5,3,392,426,452,40,6,273,3,44,362,26,38,298,98,259,5,0,191,171,267,13,1,70,5,6,,
NV-500,Las Vegas/Clark County CoC,Sheltered and Partial Unsheltered Count,2021,2289,209,198,1882,661,1611,13,4,1953,336,1154,935,57,34,32,77,2794,15,106,2673,827,1963,4,0,2250,544,1552,674,58,107,29,374,,
NV-501,"Reno, Sparks/Washoe County CoC",Sheltered and Partial Unsheltered Count,2021,928,115,48,765,352,570,3,3,747,181,645,187,25,33,15,23,780, , , , , , , , , , , , , , , ,,
NV-502,Nevada Balance of State CoC,Sheltered and Partial Unsheltered Count,2021,76,28,2,46,39,36,1,0,64,12,73,1,1,0,0,1,223, , , , , , , , , , , , , , , ,,
NY-500,"Rochester, Irondequoit, Greece/Monroe County CoC",Sheltered and Unsheltered Count,2021,488,115,42,331,194,289,4,1,398,90,188,267,1,3,5,24,33,0,5,28,4,29,0,0,30,3,14,19,0,0,0,0,,
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",Sheltered and Partial Unsheltered Count,2021,245,44,31,170,106,136,2,1,239,6,211,27,2,2,1,2,11, , , , , , , , , , , , , , , ,,
NY-503,Albany City & County CoC,Sheltered and Unsheltered Count,2021,674,87,27,560,137,533,3,1,609,65,268,375,5,5,2,19,49,0,2,47,9,40,0,0,43,6,28,14,2,4,0,1,,
NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",Sheltered and Unsheltered Count,2021,457,93,57,307,195,255,5,2,407,50,254,157,2,3,3,38,12,0,1,11,1,11,0,0,10,2,7,2,0,0,0,3,,
NY-507,Schenectady City & County CoC,Sheltered and Partial Unsheltered Count,2021,246,38,14,194,79,167,0,0,207,39,104,123,3,1,2,13,20, , , , , , , , , , , , , , , ,,
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",Sheltered-Only Count,2021,663,144,48,471,256,406,0,1,587,76,295,311,10,16,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NY-510,Ithaca/Tompkins County CoC,Sheltered and Partial Unsheltered Count,2021,123,12,22,89,47,76,0,0,113,10,71,41,0,0,0,11,21,0,0,21,4,17,0,0,20,1,21,0,0,0,0,0,,
NY-511,"Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Count",Sheltered-Only Count,2021,318,47,27,244,106,211,1,0,295,23,242,56,0,1,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NY-512,Troy/Rensselaer County CoC,Sheltered and Unsheltered Count,2021,158,47,18,93,95,61,1,1,132,26,78,63,0,1,4,12,15,0,0,15,3,12,0,0,11,4,14,1,0,0,0,0,,
NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",Sheltered-Only Count,2021,309,71,44,194,138,167,3,1,271,38,232,53,1,4,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NY-514,"Jamestown, Dunkirk/Chautauqua County CoC",Sheltered-Only Count,2021,107,32,23,52,57,49,1,0,69,38,91,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NY-518,"Utica, Rome/Oneida, Madison Counties CoC",Sheltered-Only Count,2021,143,29,16,98,49,94,0,0,127,16,89,38,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NY-519,"Columbia, Greene Counties CoC",Sheltered-Only Count,2021,117,29,7,81,48,69,0,0,103,14,81,23,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NY-520,"Franklin, Essex Counties CoC",Sheltered and Partial Unsheltered Count,2021,40,5,0,35,10,29,1,0,38,2,26,2,0,11,1,0,0, , , , , , , , , , , , , , , ,,
NY-522,"Jefferson, Lewis, St. Lawrence Counties CoC",Sheltered and Partial Unsheltered Count,2021,77,21,6,50,29,48,0,0,76,1,61,16,0,0,0,0,16, ,4,4, , , , , , , , , , , , ,,
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties Co",Sheltered and Partial Unsheltered Count,2021,230,38,26,166,75,153,2,0,195,35,193,27,1,2,1,6,7, , , , , , , , , , , , , , , ,,
NY-525,New York Balance of State Continuum of Care,Sheltered and Partial Unsheltered Count,2021,331,75,47,209,125,204,2,0,279,52,266,42,1,4,0,18,10,0,3,7,4,6,0,0,7,3,8,1,0,0,0,1,,
NY-600,New York City CoC,Sheltered and Unsheltered Count,2021,65975,19415,5722,40838,29750,35795,405,25,41911,24064,12249,48073,767,324,1296,3266,2383,2,130,2251,424,1931,23,5,1616,767,754,1297,62,16,7,247,,
NY-601,Poughkeepsie/Dutchess County CoC,Sheltered and Partial Unsheltered Count,2021,516,138,33,345,225,289,1,1,432,84,243,230,1,7,3,32,20, , , , , , , , , , , , , , , ,,
NY-602,"Newburgh, Middletown/Orange County CoC",Sheltered and Unsheltered Count,2021,242,74,20,148,100,142,0,0,202,40,107,107,1,4,3,20,38,0,4,34,6,32,0,0,35,3,25,10,0,0,0,3,,
NY-603,"Nassau, Suffolk Counties CoC",Sheltered and Unsheltered Count,2021,2912,1167,203,1542,1464,1445,3,0,2354,558,975,1707,15,49,15,151,138,1,6,131,23,115,0,0,83,55,106,30,2,0,0,0,,
NY-604,"Yonkers, Mount Vernon/Westchester County CoC",Sheltered and Partial Unsheltered Count,2021,1287,498,84,705,639,642,3,3,927,360,346,903,1,4,8,25,96,0,6,90,22,74,0,0,71,25,31,58,0,0,1,6,,
NY-606,Rockland County CoC,Sheltered-Only Count,2021,53,11,4,38,19,34,0,0,36,17,30,17,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NY-608,Kingston/Ulster County CoC,Sheltered-Only Count,2021,340,116,30,194,170,168,1,1,286,54,183,106,1,0,7,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
OH-500,Cincinnati/Hamilton County CoC,Sheltered and Unsheltered Count,2021,985,212,66,707,387,596,2,0,970,15,297,645,1,6,2,34,31,0,0,31,3,28,0,0,30,1,16,15,0,0,0,0,,
OH-501,Toledo/Lucas County CoC,Sheltered-Only Count,2021,383,94,19,270,173,209,1,0,365,18,174,190,2,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
OH-502,Cleveland/Cuyahoga County CoC,Sheltered-Only Count,2021,1557,277,112,1168,535,1012,10,0,1428,129,434,1088,10,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
OH-503,Columbus/Franklin County CoC,Sheltered-Only Count,2021,1365,323,126,916,536,826,3,0,1297,68,375,872,18,3,3,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
OH-504,Youngstown/Mahoning County CoC,Sheltered-Only Count,2021,62,23,7,32,46,14,1,1,41,21,29,21,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
OH-505,"Dayton, Kettering/Montgomery County CoC",Sheltered-Only Count,2021,568,69,78,421,248,317,2,1,563,5,271,247,1,5,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
OH-506,"Akron, Barberton/Summit County CoC",Sheltered and Unsheltered Count,2021,315,53,18,244,132,183,0,0,312,3,173,127,1,1,0,13,79,0,7,72,17,62,0,0,78,1,56,17,0,1,0,5,,
OH-507,Ohio Balance of State CoC,Sheltered-Only Count,2021,2336,666,222,1448,1137,1193,6,0,2203,133,1728,460,8,10,15,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
OH-508,"Canton, Massillon, Alliance/Stark County CoC",Sheltered and Unsheltered Count,2021,191,64,15,112,106,84,1,0,186,5,88,78,1,0,1,23,43,0,1,42,18,25,0,0,40,3,22,16,1,1,0,3,,
OK-500,North Central Oklahoma CoC,Sheltered and Unsheltered Count,2021,121,24,25,72,61,60,0,0,116,5,101,5,0,3,1,11,11,0,4,7,2,9,0,0,9,2,10,1,0,0,0,0,,
OK-501,Tulsa City & County CoC,Sheltered and Unsheltered Count,2021,756,131,72,553,296,456,0,4,717,39,424,179,10,87,5,51,287,0,12,275,76,207,0,4,261,26,187,28,1,53,1,17,,
OK-502,Oklahoma City CoC,Sheltered-Only Count,2021,672,90,61,521,247,419,4,2,605,67,377,190,3,45,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
OK-503,Oklahoma Balance of State CoC,Sheltered-Only Count,2021,125,6,24,95,49,75,1,0,73,52,88,25,0,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
OK-504,Norman/Cleveland County CoC,Sheltered-Only Count,2021,106,26,3,77,46,60,0,0,97,9,74,20,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
OK-505,Northeast Oklahoma CoC,Sheltered-Only Count,2021,79,14,5,60,43,34,2,0,76,3,61,2,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
OK-506,Southwest Oklahoma Regional CoC,Sheltered-Only Count,2021,61,13,9,39,46,15,0,0,49,12,38,15,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
OK-507,Southeastern Oklahoma Regional CoC,Sheltered and Unsheltered Count,2021,411,132,40,239,194,217,0,0,398,13,252,54,0,55,1,49,65,2,3,60,18,47,0,0,63,2,34,11,0,17,1,2,,
OR-500,"Eugene, Springfield/Lane County CoC",Sheltered and Unsheltered Count,2021,327,26,16,285,112,213,0,2,306,21,262,17,1,5,2,40,1990,173,139,1678,677,1301,7,5,1806,184,1668,54,4,74,10,180,,
OR-501,"Portland, Gresham/Multnomah County CoC",Sheltered-Only Count,2021,1780,132,120,1528,577,1159,22,22,1549,231,1192,289,17,85,42,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
OR-502,"Medford, Ashland/Jackson County CoC",Sheltered and Unsheltered Count,2021,349,53,28,268,131,216,0,2,294,55,299,9,2,7,13,19,424,44,32,348,160,261,0,3,300,124,352,17,4,32,3,16,,
OR-503,Central Oregon CoC,Sheltered and Partial Unsheltered Count,2021,318,40,24,254,119,199,0,0,291,27,220,12,0,75,3,8,798,71,143,584,297,493,3,5,723,75,708,17,2,40,7,24,,
OR-504,"Salem/Marion, Polk Counties CoC",Sheltered-Only Count,2021,549,66,8,475,221,324,1,3,484,65,460,27,4,14,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
OR-505,Oregon Balance of State CoC,Sheltered-Only Count,2021,1305,198,83,1024,534,758,7,6,1213,92,1127,23,6,64,11,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
OR-506,"Hillsboro, Beaverton/Washington County CoC",Sheltered and Unsheltered Count,2021,359,56,28,275,138,218,2,1,297,62,273,28,2,14,11,31,357,13,19,325,104,252,1,0,304,53,316,22,4,7,2,6,,
OR-507,Clackamas County CoC,Sheltered and Unsheltered Count,2021,191,56,19,116,98,92,0,1,153,38,145,10,2,3,2,29,301,64,13,224,157,143,0,1,271,30,246,17,1,19,7,11,,
PA-500,Philadelphia CoC,Sheltered and Partial Unsheltered Count,2021,3602,909,257,2436,1489,2092,18,3,3338,264,681,2760,21,17,22,101,700,0,31,669,182,507,4,7,602,98,296,367,0,7,4,26,,
